省份/直辖市,人数,占比
山东省,21339,92.11%
北京,213,0.92%
广东省,156,0.67%
江苏省,147,0.63%
浙江省,132,0.57%
未知地域,126,0.54%
上海,115,0.50%
河北省,85,0.37%
辽宁省,82,0.35%
河南省,59,0.25%
陕西省,56,0.24%
黑龙江省,54,0.23%
天津,51,0.22%
山西省,50,0.22%
福建省,50,0.22%
湖北省,48,0.21%
内蒙古,38,0.16%
吉林省,38,0.16%
新疆,37,0.16%
四川省,37,0.16%
安徽省,36,0.16%
湖南省,32,0.14%
云南省,32,0.14%
重庆,30,0.13%
广西,28,0.12%
江西省,27,0.12%
甘肃省,21,0.09%
海南省,16,0.07%
贵州省,8,0.03%
宁夏,7,0.03%
青海省,6,0.03%
香港,5,0.02%
西藏,4,0.02%
澳门,2,0.01%
台湾省,1,0.00%
